,name,id,smiles,formula
171,omega-agatoxin iva,None,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H]3C(=O)N[C@H]4CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N1)NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC4=O)CCCNC(=N)N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)N3)[C@@H](C)O)CC6=CNC7=CC=CC=C76)CCCCN)CCCNC(=N)N)CC8=CC=C(C=C8)O)CC(=O)O)CCCCN)C)[C@@H](C)CC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)N)C(=O)N[C@@H](CCCCN)C(=O)N9CCC[C@H]9C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)O)CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)[C@@H](C)CC)CCSC)[C@@H](C)O)CC(=O)N,None
172,omega-agatoxin via,None,None,None
173,omega-conotoxin gvia,None,C[C@H]([C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)N)O)NC(=O)[C@@H]5C[C@H](CN5C(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H]6C[C@H](CN6C(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CS)N)O)O)O,None
174,organophosphate insecticide,None,None,None
175,para-aminobenzoic acid,DB02362,C1=CC(=CC=C1C(=O)O)N,C7H7NO2
176,paraxanthine,None,CN1C=NC2=C1C(=O)N(C(=O)N2)C,None
177,perchlorate,DB03138,[O-]Cl(=O)(=O)=O,ClO4
178,perindoprilat,DB14213,CCC[C@@H](C(=O)O)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,C17H28N2O5
179,phenazepam,None,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=C3Cl,None
180,phenibut,DB13455,C1=CC=C(C=C1)C(CC(=O)O)CN,C10H13NO2
181,phenyltoloxamine,DB11160,CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2,C17H21NO
182,phenyramidol,DB13414,C1=CC=C(C=C1)C(CNC2=CC=CC=N2)O,C13H14N2O
183,phosphorous insecticides,None,None,None
184,picrotoxin,DB00466,CC(=C)[C@@H]1C2[C@@H]3[C@@]4([C@](C1C(=O)O2)(CC5[C@]4(O5)C(=O)O3)O)C.C[C@@]12[C@H]3C4[C@H](C([C@@]1(C[C@@H]5[C@]2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O,C30H34O13
185,piperine,DB12582,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,C17H19NO3
186,precocene i,None,CC1(C=CC2=C(O1)C=C(C=C2)OC)C,None
187,putrescine,DB01917,C(CCN)CN,C4H12N2
188,pyreneperone,None,None,None
189,quinpirole,None,CCCN1CCC[C@H]2[C@H]1CC3=C(C2)NN=C3,None
190,reseveratrol,None,None,None
191,ruthenium red,None,N.N.N.N.N.N.N.N.N.N.N.N.N.N.O.O.[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ru+2].[Ru+2].[Ru+2],None
192,sodium carboxymethylcellulose,None,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na],None
193,sodium dodecyl sulfate,DB00815,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],C12H25NaO4S
194,sodium perchlorate,DB16608,None,ClNaO4
195,spermidine,DB03566,C(CCNCCCN)CN,C7H19N3
196,sulfaphenazole,DB06729,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N,C15H14N4O2S
197,thimerosal,DB11590,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+],C9H9HgNaO2S
198,threohydrobupropion,None,CC(C(C1=CC(=CC=C1)Cl)O)NC(C)(C)C,None
199,toxin a,None,None,None
200,transferrin,None,C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N,None
201,trichlorfon,DB11473,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,C4H8Cl3O4P
202,trimethyl lead,None,C[Pb](C)C,None
203,tuftsin,None,C[C@H]([C@@H](C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)N)O,None
204,tyramine,DB08841,C1=CC(=CC=C1CCN)O,C8H11NO
205,vanillin,None,COC1=C(C=CC(=C1)C=O)O,None
206,vanillylmandelic acid,None,COC1=C(C=CC(=C1)C(C(=O)O)O)O,None
